"x","y","z"
-106.733333333333,40.7666666666667,2672
-106.716666666667,40.7666666666667,2932
-106.7,40.7666666666667,3042
-106.683333333333,40.7666666666667,3170
-106.666666666667,40.7666666666667,3282
-106.65,40.7666666666667,3255
-106.633333333333,40.7666666666667,3309
-106.616666666667,40.7666666666667,3142
-106.6,40.7666666666667,2980
-106.583333333333,40.7666666666667,2777
-106.566666666667,40.7666666666667,2673
-106.55,40.7666666666667,2600
-106.533333333333,40.7666666666667,2542
-106.516666666667,40.7666666666667,2572
-106.5,40.7666666666667,2695
-106.483333333333,40.7666666666667,2517
-106.466666666667,40.7666666666667,2464
-106.45,40.7666666666667,2462
-106.433333333333,40.7666666666667,2466
-106.416666666667,40.7666666666667,2479
-106.4,40.7666666666667,2460
-106.383333333333,40.7666666666667,2430
-106.366666666667,40.7666666666667,2466
-106.35,40.7666666666667,2446
-106.333333333333,40.7666666666667,2445
-106.316666666667,40.7666666666667,2462
-106.3,40.7666666666667,2445
-106.283333333333,40.7666666666667,2455
-106.266666666667,40.7666666666667,2477
-106.25,40.7666666666667,2479
-106.233333333333,40.7666666666667,2493
-106.216666666667,40.7666666666667,2508
-106.2,40.7666666666667,2486
-106.183333333333,40.7666666666667,2461
-106.166666666667,40.7666666666667,2484
-106.15,40.7666666666667,2479
-106.133333333333,40.7666666666667,2462
-106.116666666667,40.7666666666667,2461
-106.1,40.7666666666667,2477
-106.083333333333,40.7666666666667,2506
-106.066666666667,40.7666666666667,2572
-106.05,40.7666666666667,2774
-106.033333333333,40.7666666666667,3070
-106.016666666667,40.7666666666667,3129
-106,40.7666666666667,2990
-105.983333333333,40.7666666666667,3048
-105.966666666667,40.7666666666667,3069
-105.95,40.7666666666667,2980
-105.933333333333,40.7666666666667,2896
-105.916666666667,40.7666666666667,2826
-105.9,40.7666666666667,2653
-105.883333333333,40.7666666666667,2580
-105.866666666667,40.7666666666667,2659
-105.85,40.7666666666667,2886
-105.833333333333,40.7666666666667,3049
-105.816666666667,40.7666666666667,3041
-105.8,40.7666666666667,3035
-105.783333333333,40.7666666666667,3063
-105.766666666667,40.7666666666667,3061
-105.75,40.7666666666667,3152
-105.733333333333,40.7666666666667,3227
-105.716666666667,40.7666666666667,3267
-105.7,40.7666666666667,3218
-105.683333333333,40.7666666666667,3049
-105.666666666667,40.7666666666667,2904
-105.65,40.7666666666667,2785
-105.633333333333,40.7666666666667,2715
-105.616666666667,40.7666666666667,2653
-105.6,40.7666666666667,2602
-105.583333333333,40.7666666666667,2579
-105.566666666667,40.7666666666667,2597
-105.55,40.7666666666667,2557
-105.533333333333,40.7666666666667,2534
-105.516666666667,40.7666666666667,2503
-105.5,40.7666666666667,2434
-105.483333333333,40.7666666666667,2408
-105.466666666667,40.7666666666667,2402
-105.45,40.7666666666667,2365
-105.433333333333,40.7666666666667,2283
-105.416666666667,40.7666666666667,2165
-105.4,40.7666666666667,2101
-105.383333333333,40.7666666666667,2060
-105.366666666667,40.7666666666667,1990
-105.35,40.7666666666667,1946
-105.333333333333,40.7666666666667,1953
-105.316666666667,40.7666666666667,1965
-105.3,40.7666666666667,1971
-105.283333333333,40.7666666666667,2025
-105.266666666667,40.7666666666667,1926
-105.25,40.7666666666667,1855
-105.233333333333,40.7666666666667,1757
-105.216666666667,40.7666666666667,1903
-105.2,40.7666666666667,1876
-105.183333333333,40.7666666666667,1795
-105.166666666667,40.7666666666667,1738
-105.15,40.7666666666667,1751
-105.133333333333,40.7666666666667,1657
-105.116666666667,40.7666666666667,1653
-105.1,40.7666666666667,1653
-105.083333333333,40.7666666666667,1654
-105.066666666667,40.7666666666667,1650
-105.05,40.7666666666667,1644
-105.033333333333,40.7666666666667,1637
-105.016666666667,40.7666666666667,1644
-105,40.7666666666667,1640
-104.983333333333,40.7666666666667,1650
-104.966666666667,40.7666666666667,1644
-104.95,40.7666666666667,1650
-108.8,40.75,1746
-108.783333333333,40.75,1798
-108.766666666667,40.75,1834
-108.75,40.75,1814
-108.733333333333,40.75,1775
-108.716666666667,40.75,1837
-108.7,40.75,1920
-108.683333333333,40.75,1989
-108.666666666667,40.75,2098
-108.65,40.75,2142
-108.633333333333,40.75,2205
-108.616666666667,40.75,2195
-108.6,40.75,2112
-108.583333333333,40.75,2067
-108.566666666667,40.75,2010
-108.55,40.75,1972
-108.533333333333,40.75,1944
-108.516666666667,40.75,1924
-108.5,40.75,1912
-108.483333333333,40.75,1900
-108.466666666667,40.75,1892
-108.45,40.75,1888
-108.433333333333,40.75,1883
-108.416666666667,40.75,1880
-108.4,40.75,1893
-108.383333333333,40.75,1897
-108.366666666667,40.75,1882
-108.35,40.75,1886
-108.333333333333,40.75,1907
-108.316666666667,40.75,1929
-108.3,40.75,1981
-108.283333333333,40.75,1982
-108.266666666667,40.75,2016
-108.25,40.75,2027
-108.233333333333,40.75,1976
-108.216666666667,40.75,1907
-108.2,40.75,1827
-108.183333333333,40.75,1788
-108.166666666667,40.75,1815
-108.15,40.75,1854
-108.133333333333,40.75,1882
-108.116666666667,40.75,1894
-108.1,40.75,1887
-108.083333333333,40.75,1930
-108.066666666667,40.75,1943
-108.05,40.75,1962
-108.033333333333,40.75,1994
-108.016666666667,40.75,2022
-108,40.75,2043
-107.983333333333,40.75,2046
-107.966666666667,40.75,2073
-107.95,40.75,2075
-107.933333333333,40.75,2084
-107.916666666667,40.75,2105
-107.9,40.75,2129
-107.883333333333,40.75,2160
-107.866666666667,40.75,2168
-107.85,40.75,2185
-107.833333333333,40.75,2202
-107.816666666667,40.75,2197
-107.8,40.75,2183
-107.783333333333,40.75,2173
-107.766666666667,40.75,2193
-107.75,40.75,2204
-107.733333333333,40.75,2159
-107.716666666667,40.75,2159
-107.7,40.75,2151
-107.683333333333,40.75,2149
-107.666666666667,40.75,2154
-107.65,40.75,2190
-107.633333333333,40.75,2171
-107.616666666667,40.75,2147
-107.6,40.75,2086
-107.583333333333,40.75,2055
-107.566666666667,40.75,2037
-107.55,40.75,2010
-107.533333333333,40.75,2063
-107.516666666667,40.75,2235
-107.5,40.75,2300
-107.483333333333,40.75,2371
-107.466666666667,40.75,2407
-107.45,40.75,2467
-107.433333333333,40.75,2548
-107.416666666667,40.75,2580
-107.4,40.75,2626
-107.383333333333,40.75,2642
-107.366666666667,40.75,2742
-107.35,40.75,2838
-107.333333333333,40.75,2833
-107.316666666667,40.75,2785
-107.3,40.75,2644
-107.283333333333,40.75,2583
-107.266666666667,40.75,2496
-107.25,40.75,2598
-107.233333333333,40.75,2691
-107.216666666667,40.75,2601
-107.2,40.75,2555
-107.183333333333,40.75,2590
-107.166666666667,40.75,2495
-107.15,40.75,2454
-107.133333333333,40.75,2433
-107.116666666667,40.75,2498
-107.1,40.75,2672
-107.083333333333,40.75,2781
-107.066666666667,40.75,2876
-107.05,40.75,3065
-107.033333333333,40.75,2923
-107.016666666667,40.75,2648
-107,40.75,2627
-106.983333333333,40.75,2532
-106.966666666667,40.75,2452
-106.95,40.75,2505
-106.933333333333,40.75,2521
-106.916666666667,40.75,2446
-106.9,40.75,2485
-106.883333333333,40.75,2471
-106.866666666667,40.75,2529
-106.85,40.75,2399
-106.833333333333,40.75,2366
-106.816666666667,40.75,2412
-106.8,40.75,2515
-106.783333333333,40.75,2726
-106.766666666667,40.75,2575
-106.75,40.75,2851
-106.733333333333,40.75,2682
-106.716666666667,40.75,2981
-106.7,40.75,3192
-106.683333333333,40.75,3238
-106.666666666667,40.75,3330
-106.65,40.75,3127
-106.633333333333,40.75,3013
-106.616666666667,40.75,2934
-106.6,40.75,2862
-106.583333333333,40.75,2753
-106.566666666667,40.75,2709
-106.55,40.75,2660
-106.533333333333,40.75,2596
-106.516666666667,40.75,2524
-106.5,40.75,2531
-106.483333333333,40.75,2556
-106.466666666667,40.75,2471
-106.45,40.75,2465
-106.433333333333,40.75,2470
-106.416666666667,40.75,2475
-106.4,40.75,2444
-106.383333333333,40.75,2450
-106.366666666667,40.75,2489
-106.35,40.75,2459
-106.333333333333,40.75,2453
-106.316666666667,40.75,2463
-106.3,40.75,2453
-106.283333333333,40.75,2463
-106.266666666667,40.75,2480
-106.25,40.75,2483
-106.233333333333,40.75,2513
-106.216666666667,40.75,2513
-106.2,40.75,2488
-106.183333333333,40.75,2495
-106.166666666667,40.75,2506
-106.15,40.75,2510
-106.133333333333,40.75,2505
-106.116666666667,40.75,2483
-106.1,40.75,2466
-106.083333333333,40.75,2472
-106.066666666667,40.75,2511
-106.05,40.75,2741
-106.033333333333,40.75,3051
-106.016666666667,40.75,3240
-106,40.75,3119
-105.983333333333,40.75,3057
-105.966666666667,40.75,3183
